Time,<undefined>
0,1
2.00E-05,1
4.00E-05,1
6.00E-05,1
8.00E-05,1
0.0001,1
0.00012,1
0.00014,1
0.00016,1
0.00018,2
0.0002,2
0.00022,2
0.00024,1
0.00026,1
0.00028,1
0.0003,1
0.00032,1
0.00034,1
0.00036,2
0.00038,2
0.0004,2
0.00042,2
0.00044,2
0.00046,1
0.00048,1
0.0005,1
0.00052,1
0.00054,2
0.00056,2
0.00058,2
0.0006,2
0.00062,2
0.00064,2
0.00066,2
0.00068,2
0.0007,1
0.00072,2
0.00074,2
0.00076,2
0.00078,2
0.0008,2
0.00082,2
0.00084,2
0.00086,2
0.00088,2
0.0009,2
0.00092,2
0.00094,2
0.00096,2
0.00098,4
0.001,4
0.00102,4
0.00104,2
0.00106,2
0.00108,2
0.0011,2
0.00112,2
0.00114,2
0.00116,4
0.00118,4
0.0012,4
0.00122,4
0.00124,4
0.00126,2
0.00128,2
0.0013,2
0.00132,2
0.00134,4
0.00136,4
0.00138,4
0.0014,4
0.00142,4
0.00144,4
0.00146,4
0.00148,2
0.0015,2
0.00152,4
0.00154,4
0.00156,4
0.00158,4
0.0016,4
0.00162,4
0.00164,4
0.00166,4
0.00168,4
0.0017,4
0.00172,4
0.00174,4
0.00176,4
0.00178,4
0.0018,6
0.00182,4
0.00184,4
0.00186,4
0.00188,4
0.0019,4
0.00192,4
0.00194,4
0.00196,4
0.00198,6
0.002,6
0.00202,6
0.00204,4
0.00206,4
0.00208,4
0.0021,4
0.00212,4
0.00214,4
0.00216,6
0.00218,6
0.0022,6
0.00222,6
0.00224,6
0.00226,6
0.00228,4
0.0023,4
0.00232,4
0.00234,6
0.00236,6
0.00238,6
0.0024,6
0.00242,6
0.00244,6
0.00246,6
0.00248,6
0.0025,4
0.00252,6
0.00254,6
0.00256,6
0.00258,6
0.0026,6
0.00262,6
0.00264,6
0.00266,6
0.00268,6
0.0027,6
0.00272,6
0.00274,6
0.00276,6
0.00278,6
0.0028,8
0.00282,6
0.00284,6
0.00286,6
0.00288,6
0.0029,6
0.00292,6
0.00294,6
0.00296,6
